ID,Car_Owner,Customer_Service
11,No,If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.
18,No,The rental car guy was cute.
36,Yes,They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.
45,No,"It was good, got the car we wanted without much of a wait in picking up and dropping off"
74,No,"no wait for pick up and drop off was great, help with luggage, face to face directions to hotel, recommended entertainment for area."
83,Yes,"I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful."
140,No,Everyone was very helpful.  The car was ready for me on time and I didn't have to wait a long time at the counter.
191,Yes,what customer service
239,Yes,They did not have the car I wanted.  upgraded me to a car I did not like and did not want.
247,No,"delayed shuttle, almost missed flight, bad customer service"
375,Yes,adequate
398,No,"""sorely lacking"""
414,No,Person very friendly but only person working counter
418,No,"They provided good service.   It was easy to make on-line reservations, the airport bus took me directly and quickly to the car, gas tank filled, customer service friendly and helped with directions and luggage."
442,No,They moved me in and out quickly. The shuttle driver drove like a maniac.
473,No,"We dealt very little with customer service, and we only walked to the car assigned for us, and drive away."
488,No,The car rental company that I went with had very good customer service. They were out of a certain car I reserved and gave me a upgrade and apologized.
530,No,"Experience was fine, usually try to get you to upgrade."
560,No,"It took quite a long time, about 45 minutes to an hour.  Several attendants but the line was about 20-25 deep.  Check out was very quick.  A minute or two was all.  Overall a pretty good experience."
587,No,I would like them to be more speedy.  Also I would like the rental company to check the car for previous damage while I am standing there.
626,No,"The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious."
686,No,"Was average, nothing out of the ordinary.  Took a long time to get the car."
690,Yes,"We needed a minivan on very short notice to drive out of town to a funeral.  Enterprise staff worked hard to find us one, and they did. We smashed the car into a parking garage pole.  Since we had purchased the comprehensive insurance we didn't have to go through all of the B.S."
719,No,good
759,No,"I haven't actually spoken with anyone from a car rental organization for quite a while.  When I did (probably about three years ago), I believe they were polite enough. However, I always hate to wait in lines when we have a lot of luggage."
771,Yes,Customer Service was fine. They were able to upgrade me for $2 a day to the next class...that was nice.
772,Yes,They were too pushy in trying to sell insurance.
782,No,They were helpful and accommodating when I wanted to change the color of the car.
803,Yes,speed up the rental process!
827,Yes,The counter girl seemed confused and she had lost our reservations. They directed us to one car and then came running out to tell us that was the wrong car and to come back to the counter. Getting directions took forever and they weren't accurate.
841,No,The representatives were helpful and considerate; the only problem encountered was finding the rental car in the parking lot.  I really would have appreciated it if an employee had gone out to get the car and drive it up to the front.  I feel that would h
900,No,Excellent response dealing with child seat.
916,Yes,"For the most part, they it's been really good service.  I usually rent from the airports because it's much cheaper.  Once they charged me over and I had to hunt down the accounting department to get my money back.  it was a pain."
930,No,The customer service was excellent
931,No,"Customer service was average.  They did not go above and beyond.  They did, however, do more than the minimum."
954,No,I HATE how they pressure you to buy add-on service.
956,No,Experience was fine
976,Yes,For the most part they are very nice.
983,No,"Have not rented a car since last October.  Customer Service was good, shuttle service was available to and from airport.  Scheduled pickup was on time and they even found a package we had left in the car and brought it to the shuttle."
1016,No,"took a long time to check in, and it would have been nice if someone explained how to get the convertible top down."
1018,Yes,it was a great experience
1060,Yes,No problems encountered
1064,No,Very satisfactory. Employees were very helpful in providing directions.
1069,No,they could not provide driving directions
1085,No,"Based on the customer service personnel I encountered most recently, I would say it is vastly preferable for the personnel to be able to at least pretend to care whether the customer ever actually receives a car rental that was reserved months in advance."
1087,No,Everything was great.  The line was a little long to get the car but it was a good experience.
1098,No,Customer Service was quick and friendly.  I received my car with little hassles.
1110,No,"The agents were not friendly when I checked in initially, that was annoying because I had just spent 3 hours on a plane and wanted to be greeted with a better attitude."
1119,Yes,Customer service was good at MSP airport and the process was very fast.  From getting off of the plane to leaving with my rental car was less than 45 minutes.
1127,No,no complaints
1133,No,Please lower the prices.
1148,No,they were a little slow
1162,Yes,Friendly and very well informed
1166,No,"I was happy that we arrived very late and there was still a live person to help us get our rental.  We had no problems with the car, and returned it easily."
1171,No,I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.
1190,No,"I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean."
1225,Yes,"The people where generally good, but overworked.  The printer went down.  The poor woman working the register was about to pull her hair out.  Customers were yelling at her, not me, but she was not in charge of the issues."
1229,No,price too high and location off premise too far
1243,Yes,The car I reserved was not ready.
1246,No,"Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying."
1277,Yes,It was fine
1282,No,not applicable
1307,No,"I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be"
1309,No,"friendly, but could not making any decisions on own"
1333,No,"Employees had nice, new uniforms."
1346,Yes,outlining the cost of gas per gallon charged if vehicle was returned without full tank
1350,Yes,I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.
1360,Yes,they should not try so hard to up sell
1361,Yes,they were trying to satisfy me even though my wife tells me I was being rude
1365,Yes,"The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a car. Or return it."
1379,Yes,"You need more staff to accommodate travelers who are in a hurry. Specifically, cut down the wait time to either retrieve or turn in a rental car."
1448,No,"customer service was very good and very professional, energetic"
1460,No,friendly people
1480,No,They forgot to ask for my driver's license.
1491,No,They provided the best service thus far. They are very friendly and helpful. I have rented from other companies before both cheaper and more expensive.
1492,No,customer service was OK
1499,No,"We had a small problem with the size of car we reserved being available. The company was able to send another car over from a different location. We were delayed in getting on the road, but were satisfied with the car."
1545,Yes,None I  rarely rent cars
1547,No,"Customer service was great, but I wish they had searched the car when I returned it.  I left my Palm Pilot in the backseat for 2 days before I noticed it was missing!  Fortunately the car was still in the lot when I called and they were able to ship it to me."
1557,No,they were fine.
1645,No,More agents during peak hours
1646,Yes,Most windows were closed.
1647,Yes,the agent obviously hates their job more than I hate mine and that surprises me
1672,No,they were very nice and willing to help in any way they could
1737,Yes,car cost more because I didn't pay when I reserved it
1745,No,"it was fine, I had no problem at all."
1757,No,they were extremely helpful and did whatever they could to help us.
